Image,Kernel,Mode,Pow2,Naive(ms),FFT(ms),Faster,AbsDiffSum
256x256,3x3,valid,1,0.264917,19.477458,Naive,0.000000
256x256,7x7,valid,1,1.195542,18.969792,Naive,0.000000
256x256,21x21,valid,1,9.718584,18.665125,Naive,0.000000
256x256,51x51,valid,1,55.444458,18.508458,FFT,0.000000
256x256,101x101,valid,1,130.163084,19.232958,FFT,0.000000
512x512,5x5,valid,1,2.452375,85.374708,Naive,0.000000
512x512,11x11,valid,1,9.760334,85.952209,Naive,0.000000
512x512,31x31,valid,1,107.713375,86.300791,FFT,0.000001
512x512,101x101,valid,1,889.481000,85.932084,FFT,0.000009
512x512,151x151,valid,1,1541.154667,84.780542,FFT,0.000015
1024x1024,11x11,valid,1,39.744833,392.862208,Naive,0.000000
1024x1024,31x31,valid,1,452.735958,390.187625,FFT,0.000001
1024x1024,101x101,valid,1,4532.647250,393.615291,FFT,0.000008
1024x1024,201x201,valid,1,13857.344708,388.461834,FFT,0.000037
1024x1024,301x301,valid,1,24137.227500,394.277750,FFT,0.000088
2048x2048,21x21,valid,1,722.189083,1789.684750,Naive,0.000031
2048x2048,51x51,valid,1,5149.285500,1739.335458,FFT,0.000180
2048x2048,151x151,valid,1,42101.911000,1748.823375,FFT,0.001416
2048x2048,301x301,valid,1,141079.647583,1782.416708,FFT,0.004612
2048x2048,501x501,valid,1,308784.705167,1836.582042,FFT,0.009567
