Image,Kernel,Mode,NaiveCPU_ms,NaiveGPU_kernel_ms,NaiveGPU_total_ms,AbsDiffSum
256x256,3x3,valid,0.841400,0.095072,207.182561,0.000000
256x256,7x7,valid,2.216209,0.034464,0.544801,0.000000
256x256,21x21,valid,22.751719,0.207072,0.653875,0.000000
256x256,51x51,valid,102.019031,0.919968,1.319639,0.000000
256x256,101x101,valid,224.118482,2.592800,2.890465,0.000000
512x512,5x5,valid,5.888831,0.061440,1.786220,0.000000
512x512,11x11,valid,24.309707,0.252224,1.893119,0.000000
512x512,31x31,valid,197.966836,1.763392,3.346575,0.000000
512x512,101x101,valid,1562.970742,13.342656,14.764690,0.000000
512x512,151x151,valid,2690.960875,23.280352,24.517934,0.000000
1024x1024,11x11,valid,101.481315,0.955680,9.030405,0.000000
1024x1024,31x31,valid,837.801393,7.171200,13.168087,0.000000
1024x1024,101x101,valid,7764.178635,65.088669,70.377617,0.000000
1024x1024,201x201,valid,24427.439753,203.717377,217.897730,0.000000
1024x1024,301x301,valid,43333.043869,339.165344,358.976144,0.000001
2048x2048,21x21,valid,1632.814012,10.617760,41.388416,0.000000
2048x2048,51x51,valid,9568.460398,76.475906,99.663529,0.000000
2048x2048,151x151,valid,73036.941727,544.524170,580.805600,0.000001
2048x2048,301x301,valid,246479.128837,1726.107422,1760.040424,0.000004
2048x2048,501x501,valid,543528.649892,3655.445068,3687.576620,0.000008
