Image,Kernel,Mode,Pow2,NaiveCUDA(ms),FFTCPU(ms),Faster,AbsDiffSum
256x256,3x3,valid,1,0.101952,31.101477,NaiveCUDA,0.000000
256x256,7x7,valid,1,0.040448,31.091880,NaiveCUDA,0.000000
256x256,21x21,valid,1,0.208896,30.541832,NaiveCUDA,0.000000
256x256,51x51,valid,1,0.923648,31.169882,NaiveCUDA,0.000000
256x256,101x101,valid,1,2.485696,31.897801,NaiveCUDA,0.000000
512x512,5x5,valid,1,0.064160,144.631305,NaiveCUDA,0.000000
512x512,11x11,valid,1,0.245408,139.751198,NaiveCUDA,0.000000
512x512,31x31,valid,1,1.766848,142.696929,NaiveCUDA,0.000001
512x512,101x101,valid,1,13.231584,139.926971,NaiveCUDA,0.000009
512x512,151x151,valid,1,23.283520,141.548047,NaiveCUDA,0.000015
1024x1024,11x11,valid,1,0.956416,723.596136,NaiveCUDA,0.000000
1024x1024,31x31,valid,1,7.175488,716.359220,NaiveCUDA,0.000001
1024x1024,101x101,valid,1,65.087616,708.544908,NaiveCUDA,0.000008
1024x1024,201x201,valid,1,188.244537,717.865276,NaiveCUDA,0.000037
1024x1024,301x301,valid,1,284.997223,704.907181,NaiveCUDA,0.000089
2048x2048,21x21,valid,1,10.694656,3195.325563,NaiveCUDA,0.000032
2048x2048,51x51,valid,1,76.773376,3203.394616,NaiveCUDA,0.000177
2048x2048,151x151,valid,1,521.159912,3199.833052,NaiveCUDA,0.001404
2048x2048,301x301,valid,1,1697.757690,3200.370410,NaiveCUDA,0.004607
2048x2048,501x501,valid,1,3659.166992,3208.514062,FFT,0.009589
