image_size,kernel_size,padding_mode,dtype,operation_time_ms
256,3,same,float64,227.719
256,7,same,float64,8.04126
256,21,same,float64,8.71538
256,51,same,float64,9.60673
256,101,same,float64,22.1304
512,5,same,float64,38.1836
512,11,same,float64,23.4757
512,31,same,float64,55.1193
512,101,same,float64,26.09
512,151,same,float64,26.5832
1024,11,same,float64,96.8866
1024,31,same,float64,87.1036
1024,101,same,float64,100.806
1024,201,same,float64,93.8935
1024,301,same,float64,128.736
2048,21,same,float64,357.392
2048,51,same,float64,373.053
2048,151,same,float64,374.43
2048,301,same,float64,344.651
2048,501,same,float64,358.302
